stamp_sec,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1732437230.009887695,0.01306850090622902,-0.047341395169496536,0.004437953233718872,-0.40613922476768494,-0.06257031857967377,0.8904258012771606
1732437230.014472246,0.01946008764207363,-0.033492956310510635,0.004437953233718872,-0.41102203726768494,-0.03376172482967377,0.8914023637771606
1732437230.019705772,0.002415856346487999,-0.01218766812235117,-0.0072799548506736755,-0.40638336539268494,-0.030832037329673767,0.9170371294021606
1732437230.024113178,-0.006106259301304817,0.005921827629208565,-0.021128393709659576,-0.38611969351768494,-0.04279492795467377,0.9209433794021606
1732437230.029624939,0.012003237381577492,0.027227118611335754,-0.025389451533555984,-0.39149078726768494,-0.03791211545467377,0.9016562700271606
1732437230.034119844,0.029047468677163124,0.037879761308431625,-0.022193659096956253,-0.43177399039268494,-0.005929694510996342,0.8750449419021606
1732437230.039543390,0.01306850090622902,0.0027260351926088333,-0.014736805111169815,-0.49110016226768494,0.023611322045326233,0.9072715044021606
1732437230.043843031,-0.006106259301304817,-0.03562348708510399,-0.025389451533555984,-0.42542633414268494,0.004568352364003658,0.8633261919021606
1732437230.049519062,0.002415856346487999,-0.029231898486614227,-0.01580207049846649,-0.44764313101768494,-0.009103522635996342,0.8870078325271606
1732437230.054034710,0.024786410853266716,0.0016607698053121567,0.004437953233718872,-0.45521149039268494,0.019216790795326233,0.8889609575271606
1732437230.059897900,-0.002910465933382511,-0.014318197034299374,-0.004084162414073944,-0.42444977164268494,0.023855462670326233,0.8909140825271606
1732437230.063757181,-0.02315049059689045,-0.040949806571006775,-0.011541012674570084,-0.45154938101768494,-0.004953132010996342,0.9358359575271606
1732437230.069915295,0.002415856346487999,-0.02070978283882141,0.000176895409822464,-0.40784820914268494,-0.005441413260996342,0.8872519731521606
1732437230.073850632,0.004546385258436203,-0.0068613458424806595,0.004437953233718872,-0.41956695914268494,0.010183586739003658,0.8926230669021606
1732437230.079786539,-0.021019961684942245,-0.03775401413440704,-0.013671543449163437,-0.42835602164268494,-0.003976569510996342,0.9175254106521606
1732437230.084037542,-0.02634628489613533,-0.057994041591882706,-0.021128393709659576,-0.38489899039268494,-0.03986524045467377,0.9077597856521606
1732437230.089505434,0.0013505928218364716,-0.030297163873910904,-0.013671543449163437,-0.37293609976768494,-0.05402539670467377,0.9104453325271606
1732437230.093823195,0.009872708469629288,-0.00046975910663604736,-0.02645471692085266,-0.36902984976768494,-0.04279492795467377,0.9106894731521606
1732437230.099894285,-0.003975730389356613,0.004856564104557037,-0.04030315577983856,-0.36317047476768494,-0.04572461545467377,0.9036093950271606
1732437230.104040623,0.0002853274345397949,-0.005796080455183983,-0.039237890392541885,-0.38221344351768494,-0.05304883420467377,0.9226523637771606
1732437230.109554052,0.010937971994280815,-0.011122403666377068,-0.029650509357452393,-0.40784820914268494,-0.04450391232967377,0.9358359575271606
1732437230.114019871,0.007742179557681084,-0.008991874754428864,-0.02645471692085266,-0.38367828726768494,-0.026193365454673767,0.8843222856521606
1732437230.119919062,-0.0018452014774084091,-0.0015350226312875748,-0.024324186146259308,-0.44666656851768494,-0.029611334204673767,0.9192343950271606
1732437230.124100685,-0.006106259301304817,0.0016607698053121567,-0.01686733588576317,-0.43641266226768494,-0.03327344357967377,0.9006797075271606
1732437230.129882574,-0.011432581581175327,-0.0047308169305324554,-0.013671543449163437,-0.41273102164268494,-0.04865430295467377,0.8799277544021606
1732437230.133816004,-0.009302052669227123,-0.018579255789518356,-0.0030188970267772675,-0.43616852164268494,-0.07111524045467377,0.9131308794021606
1732437230.140043020,0.00561165064573288,-0.023905577138066292,0.008699014782905579,-0.42127594351768494,-0.07819531857967377,0.9077597856521606
1732437230.143849373,0.00561165064573288,-0.023905577138066292,0.014025337994098663,-0.40443024039268494,-0.06012891232967377,0.8982383012771606
1732437230.149781942,-0.002910465933382511,-0.01751399040222168,0.002307422459125519,-0.41492828726768494,-0.06525586545467377,0.9092246294021606
1732437230.153761148,0.002415856346487999,-0.01218766812235117,-0.004084162414073944,-0.41956695914268494,-0.08185742795467377,0.9248496294021606
1732437230.159666777,0.0162642952054739,-0.015383461490273476,0.000176895409822464,-0.39246734976768494,-0.07355664670467377,0.9048300981521606
1732437230.164105415,0.017329560592770576,-0.018579255789518356,-0.006214689463376999,-0.41370758414268494,-0.05866406857967377,0.9255820512771606
1732437230.169727087,0.017329560592770576,-0.007926610298454762,-0.014736805111169815,-0.40174469351768494,-0.05549024045467377,0.9009238481521606
1732437230.173724174,0.02372114546597004,0.0016607698053121567,-0.010475747287273407,-0.41785797476768494,-0.04621289670467377,0.9123984575271606
1732437230.179728508,0.02691694162786007,-0.010057139210402966,-0.005149427801370621,-0.45301422476768494,-0.017160162329673767,0.9326621294021606
1732437230.183991909,0.015199029818177223,-0.02070978283882141,-0.009410485625267029,-0.39832672476768494,0.011404289864003658,0.8799277544021606
1732437230.189633131,0.010937971994280815,-0.03455822169780731,-0.009410485625267029,-0.43592438101768494,-0.014474616385996342,0.9387656450271606
1732437230.193753958,0.024786410853266716,-0.03775401413440704,-0.013671543449163437,-0.37952789664268494,-0.017404302954673767,0.9084922075271606
1732437230.199697256,0.025851676240563393,-0.0015350226312875748,-0.011541012674570084,-0.38270172476768494,0.000662102596834302,0.8940879106521606
1732437230.204140186,0.010937971994280815,0.02190079540014267,-0.01686733588576317,-0.37952789664268494,-0.000802741153165698,0.8982383012771606
1732437230.209676027,-0.0007799370214343071,-0.0026002880185842514,-0.02645471692085266,-0.38587555289268494,-0.030587896704673767,0.9116660356521606
1732437230.214025021,0.014133766293525696,-0.01218766812235117,-0.008345220237970352,-0.40198883414268494,-0.029123052954673767,0.9136191606521606
1732437230.219672203,0.02265588380396366,-0.0026002880185842514,0.004437953233718872,-0.40101227164268494,0.001150383846834302,0.8787070512771606
1732437230.224005222,-0.002910465933382511,-0.01218766812235117,-0.010475747287273407,-0.39881500601768494,-0.001535163028165698,0.8821250200271606
1732437230.229875326,-0.013563110493123531,-0.026036106050014496,-0.013671543449163437,-0.39979156851768494,-0.04010938107967377,0.9121543169021606
1732437230.233961105,0.007742179557681084,-0.013252932578325272,-0.001953631639480591,-0.37147125601768494,-0.06427930295467377,0.9014121294021606
1732437230.239740849,0.021590618416666985,0.008052356541156769,0.00550321489572525,-0.37415680289268494,-0.05646680295467377,0.9009238481521606
1732437230.244021416,0.012003237381577492,0.004856564104557037,-0.008345220237970352,-0.37269195914268494,-0.05426953732967377,0.8977500200271606
1732437230.249876261,0.007742179557681084,-0.005796080455183983,-0.008345220237970352,-0.39783844351768494,-0.06379102170467377,0.9304648637771606
1732437230.253654242,0.024786410853266716,-0.003665551543235779,-0.004084162414073944,-0.40198883414268494,-0.05915234982967377,0.9299765825271606
1732437230.259600163,0.03650432080030441,0.008052356541156769,-0.004084162414073944,-0.40418609976768494,-0.03449414670467377,0.9058066606521606
1732437230.264024258,0.02691694162786007,0.019770268350839615,-0.01260627806186676,-0.43787750601768494,-0.007882819510996342,0.9038535356521606
1732437230.269699097,0.014133766293525696,0.02829238399863243,-0.0200631283223629,-0.46595367789268494,0.001150383846834302,0.9062949419021606
1732437230.273877621,0.020525353029370308,0.020835530012845993,-0.01580207049846649,-0.46863922476768494,-0.000802741153165698,0.8840781450271606
1732437230.279971361,0.020525353029370308,-0.011122403666377068,-0.010475747287273407,-0.47010406851768494,-0.002023444278165698,0.8984824419021606
1732437230.283814192,0.02372114546597004,-0.050537191331386566,-0.0008883699774742126,-0.45106109976768494,0.000906243221834302,0.9092246294021606
1732437230.289883614,0.0162642952054739,-0.06332036852836609,0.000176895409822464,-0.40735992789268494,0.010916008614003658,0.9062949419021606
1732437230.293780804,0.006676914170384407,-0.04840666055679321,-0.011541012674570084,-0.39808258414268494,-0.004708991385996342,0.9302207231521606
1732437230.299651861,-0.003975730389356613,-0.011122403666377068,-0.027519982308149338,-0.36024078726768494,-0.022775396704673767,0.9119101762771606
1732437230.303856134,0.0002853274345397949,0.026161853224039078,-0.039237890392541885,-0.38148102164268494,-0.04743359982967377,0.9280234575271606
1732437230.309928656,0.010937971994280815,0.03148817643523216,-0.0339115671813488,-0.38929352164268494,-0.04499219357967377,0.9065390825271606
1732437230.313968182,0.01306850090622902,0.005921827629208565,-0.036042094230651855,-0.40565094351768494,-0.04865430295467377,0.8940879106521606
1732437230.319541454,0.020525353029370308,-0.014318197034299374,-0.022193659096956253,-0.41395172476768494,-0.05036328732967377,0.8931113481521606
1732437230.324054241,0.03330852836370468,-0.018579255789518356,-0.009410485625267029,-0.42884430289268494,-0.04255078732967377,0.8938437700271606
1732437230.329507351,0.024786410853266716,-0.008991874754428864,-0.005149427801370621,-0.41981109976768494,-0.03205274045467377,0.8728476762771606
1732437230.333873034,0.010937971994280815,-0.005796080455183983,-0.011541012674570084,-0.42274078726768494,-0.04474805295467377,0.8872519731521606
1732437230.339492559,0.007742179557681084,-0.00046975910663604736,-0.006214689463376999,-0.41956695914268494,-0.04670117795467377,0.8852988481521606
1732437230.343936205,0.020525353029370308,0.0037912987172603607,-0.0008883699774742126,-0.43519195914268494,-0.03742383420467377,0.8943320512771606
1732437230.349914312,0.02265588380396366,-0.010057139210402966,0.010829538106918335,-0.42860016226768494,-0.008371100760996342,0.8865195512771606
1732437230.353800535,0.025851676240563393,-0.04201507568359375,0.009764276444911957,-0.41614899039268494,0.001394524471834302,0.9026328325271606
